model,params,split,asset,n,pinball,pinball_const,skill,r_q05_vs_last
LSTM_h24_l2_H60,7738,train,SPX,72,0.008293154649436474,0.008221905771058888,-0.008665737647879812,-0.7443974293556191
LSTM_h24_l2_H60,7738,train,CMC200,72,0.024340560659766197,0.024156383133231814,-0.007624383398730394,-0.6091201882551098
LSTM_h24_l2_H60,7738,valid,SPX,15,0.00557668088003993,0.005391745814867626,-0.03429966313737376,-0.45082258135115044
LSTM_h24_l2_H60,7738,valid,CMC200,15,0.01483973953872919,0.014710277572879168,-0.008800783344068641,-0.6343946699272208
LSTM_h24_l2_H60,7738,test,SPX,16,0.005914004985243082,0.005768805398384843,-0.025169784180775645,-0.5116938429414764
LSTM_h24_l2_H60,7738,test,CMC200,16,0.017452633008360863,0.01708282194772525,-0.021648124751710407,-0.4327226961414193
LSTM_h16_l1_H60,1450,train,SPX,72,0.008432967588305473,0.008221905771058888,-0.025670668470748392,0.0874769757363401
LSTM_h16_l1_H60,1450,train,CMC200,72,0.024378499016165733,0.024156383133231814,-0.009194914723320347,0.08898647020838316
LSTM_h16_l1_H60,1450,valid,SPX,15,0.006105980835855007,0.005391745814867626,-0.1324682293104198,-0.0038744890621846264
LSTM_h16_l1_H60,1450,valid,CMC200,15,0.015239710919559002,0.014710277572879168,-0.03599071085211403,0.41452085719812115
LSTM_h16_l1_H60,1450,test,SPX,16,0.0057237958535552025,0.005768805398384843,0.007802229702919439,0.4248163984357736
LSTM_h16_l1_H60,1450,test,CMC200,16,0.016747793182730675,0.01708282194772525,0.01961202698358555,0.6597940214734891
LSTM_h8_l1_H24,474,train,SPX,97,0.008226838894188404,0.007570527475999661,-0.08669295769276353,0.28039888642052757
LSTM_h8_l1_H24,474,train,CMC200,97,0.026934990659356117,0.025440946254012175,-0.05872597624423359,0.41419229998967966
LSTM_h8_l1_H24,474,valid,SPX,20,0.006173277273774147,0.004932976919648554,-0.25143039878928874,0.6881726175869939
LSTM_h8_l1_H24,474,valid,CMC200,20,0.013480314053595066,0.015040825695823289,0.10375172705189739,0.3060172635118774
LSTM_h8_l1_H24,474,test,SPX,22,0.0061134519055485725,0.0057577618516103475,-0.06177574951953679,0.6412819989895588
LSTM_h8_l1_H24,474,test,CMC200,22,0.019741909578442574,0.017568365460602694,-0.12371919987172864,-0.06169995790094362
LSTM_h4_l1_H12,178,train,SPX,105,0.008770815096795559,0.007359809654184643,-0.19171765424784404,-0.6556426576850932
LSTM_h4_l1_H12,178,train,CMC200,105,0.02798929437994957,0.027428961115840082,-0.0204285266854638,-0.017538615034373376
LSTM_h4_l1_H12,178,valid,SPX,22,0.005718766711652279,0.004666497908008161,-0.22549432666375413,-0.8962230345573811
LSTM_h4_l1_H12,178,valid,CMC200,22,0.01786453276872635,0.01735235020270174,-0.029516610720826897,0.3616313972441963
LSTM_h4_l1_H12,178,test,SPX,24,0.0059140753000974655,0.005445585083985353,-0.08603119938202264,-0.9103744368632399
LSTM_h4_l1_H12,178,test,CMC200,24,0.0192235317081213,0.017041740805554415,-0.12802629305662094,0.7016723859931623
Linear_H12,110,train,SPX,105,0.006338221020996571,0.007359809654184643,0.13880639326143673,-0.2541382417066642
Linear_H12,110,train,CMC200,105,0.024962298572063446,0.027428961115840082,0.08992912758741534,0.14115179896255556
Linear_H12,110,valid,SPX,22,0.004824410658329725,0.004666497908008161,-0.03383967022691059,-0.026867253085799684
Linear_H12,110,valid,CMC200,22,0.025432422757148743,0.01735235020270174,-0.46564715788118116,-0.07598376670748798
Linear_H12,110,test,SPX,24,0.008339153602719307,0.005445585083985353,-0.5313604459589667,-0.49199561778573325
Linear_H12,110,test,CMC200,24,0.023167263716459274,0.017041740805554415,-0.359442323457259,0.03195933165646036
Linear_H24,110,train,SPX,97,0.006538175977766514,0.007570527475999661,0.13636454018639288,-0.12344966353838031
Linear_H24,110,train,CMC200,97,0.022807281464338303,0.025440946254012175,0.10352070883599818,-0.06734030944439658
Linear_H24,110,valid,SPX,20,0.007197464816272259,0.004932976919648554,-0.45905098148828083,-0.07388486711663268
Linear_H24,110,valid,CMC200,20,0.024002227932214737,0.015040825695823289,-0.5958052049549352,-0.391260401449302
Linear_H24,110,test,SPX,22,0.009194696322083473,0.0057577618516103475,-0.5969219566647888,-0.6773476114985869
Linear_H24,110,test,CMC200,22,0.03467269241809845,0.017568365460602694,-0.9735867002455323,-0.11561700537518185
Linear_H60,110,train,SPX,72,0.007119349669665098,0.008221905771058888,0.134099822120899,-0.15537124851553186
Linear_H60,110,train,CMC200,72,0.02162562683224678,0.024156383133231814,0.10476553079270734,-0.11911203725980508
Linear_H60,110,valid,SPX,15,0.1337909698486328,0.005391745814867626,-23.814035090398182,0.25619668616022767
Linear_H60,110,valid,CMC200,15,0.05108943209052086,0.014710277572879168,-2.473043376469842,0.030600857471692364
Linear_H60,110,test,SPX,16,0.22837603092193604,0.005768805398384843,-38.58809756104393,0.08030446662928374
Linear_H60,110,test,CMC200,16,0.07204185426235199,0.01708282194772525,-3.21721039315434,-0.2007083087901211
