asset,method,R2_vs_naive_zero,sign_acc_pct,sign_acc_vs_chance_pp,MSE_e-4,pinball
SPX,Naive-zero,0.0,0.0,-50.0,3.814854135271162,
SPX,Naive-mean,0.02598381002246075,93.75,43.75,3.715729690156877,
SPX,AR(1),0.0071621314937654335,18.75,-31.25,3.787531648324815,
SPX,AR(5),-0.03006359019847027,37.5,-12.5,3.929542346660894,
SPX,Linear-H,-10.502156753993123,43.75,-6.25,43.87905025750779,
SPX,Logistic-sign,-550.1560851188752,25.0,-25.0,2102.5800704956055,
SPX,Quantile-linear,-0.371688435358684,43.75,-6.25,5.232791299931705,0.00610739901138004
SPX,LSTM,0.22277869585288512,75.0,25.0,2.9649859061464667,0.005723795878584496
CMC200,Naive-zero,0.0,0.0,-50.0,32.93769666925073,
CMC200,Naive-mean,-0.07505397220667276,31.25,-18.75,35.40980163961649,
CMC200,AR(1),-0.11385456865411658,31.25,-18.75,36.687803915988404,
CMC200,AR(5),0.07634346715394391,62.5,12.5,30.423118705455217,
CMC200,Linear-H,-25.618477768067514,31.25,-18.75,876.7513465218019,
CMC200,Logistic-sign,-55.0705937589531,62.5,12.5,1846.8362092971802,
CMC200,Quantile-linear,-0.42493496509027984,62.5,12.5,46.93407565355301,0.02181503306841478
CMC200,LSTM,-0.25540105550204073,37.5,-12.5,41.35001916438341,0.016747792600654066
