lambda,m,turnover_total,turnover_SPX,turnover_CMC200
0.3,0.01,136.6617964743956,68.33105596273914,68.33074051165647
0.3,0.1,85.80250461631617,42.90125958180579,42.901245034510346
0.3,0.5,13.840492570309808,6.920248207198894,6.920244363110922
0.9,0.01,67.57019276174945,33.78551510131454,33.784677660434895
0.9,0.1,41.9847672907708,20.99239145169701,20.99237583907378
0.9,0.5,5.101084933652441,2.5505504583920935,2.5505344752603474
1.2,0.01,54.01541443059088,27.007935973186456,27.007478457404424
1.2,0.1,33.612881667364235,16.80644777946859,16.80643388789563
1.2,0.5,4.117674953214573,2.0588482173579985,2.058826735856576
1.5,0.01,45.35551746391535,22.67794121114765,22.677576252767707
1.5,0.1,27.74322811079316,13.871627588112029,13.871600522681128
1.5,0.5,3.42751791413154,1.713774318941708,1.7137435951898308
1.8,0.01,38.97069458869317,19.48540923627023,19.485285352422935
1.8,0.1,23.656706910264784,11.828360448728516,11.82834646153625
1.8,0.5,2.971284112882093,1.4856439676168773,1.4856401452652155
