t,w_full_SPX,w_oos_SPX,w_full_CMC200,w_oos_CMC200
148,0.8433622851332883,0.9533606509721194,0.15663771486671188,0.04663934902788065
149,0.8433644560778054,0.9533615017812151,0.15663554392219464,0.04663849821878495
150,0.8433658416863083,0.9533615553709235,0.15663415831369176,0.04663844462907659
151,0.8433669013696701,0.9533615782584028,0.15663309863033,0.04663842174159715
152,0.8433676014998644,0.9533615896484874,0.15663239850013555,0.046638410351512616
153,0.8433680416869832,0.9533615960739749,0.15663195831301682,0.04663840392602519
154,0.8433683662037638,0.9533616005472594,0.1566316337962363,0.04663839945274074
155,0.8433686751858666,0.953361604711067,0.15663132481413353,0.04663839528893293
156,0.8433690576114158,0.9533616097285927,0.15663094238858427,0.046638390271407384
157,0.8433693027614628,0.9533616128504493,0.15663069723853723,0.046638387149550736
158,0.8433694719835421,0.9533616149879759,0.1566305280164579,0.04663838501202401
159,0.8433695673517935,0.9533616161994702,0.15663043264820656,0.046638383800529815
160,0.8433696900818289,0.9533616177130856,0.15663030991817098,0.04663838228691435
161,0.8433698604362783,0.9533616197477688,0.15663013956372177,0.046638380252231215
162,0.843369973066335,0.9533616210807262,0.1566300269336651,0.04663837891927387
163,0.8433700267536431,0.9533616217150875,0.1566299732463568,0.04663837828491252
